research_plan,campaign,proposed_ad_group,final_url,http_status,h1,has_form,has_price,candidate_type,review_status
12-textile-branding,FP-SEARCH-10-TEXTILE-UA-PROBE,AG-01-TEXTILE-GENERIC,https://forprint.net.ua/catalog/print-on-garment/,200,Брендування текстильної продукції,1,1,catalog,approved-for-keyword-research
12-textile-branding,FP-SEARCH-10-TEXTILE-UA-PROBE,AG-02-TSHIRTS-PRINT,https://forprint.net.ua/product/druk-na-bly-futbolts/,200,Друк на футболках,1,1,product,approved-for-keyword-research
12-textile-branding,FP-SEARCH-10-TEXTILE-UA-PROBE,AG-03-TSHIRTS-EMBROIDERY,https://forprint.net.ua/product/vishivka-na-futbolkah/,200,Вишивка на футболках,1,1,product,approved-for-keyword-research
12-textile-branding,FP-SEARCH-10-TEXTILE-UA-PROBE,AG-04-CAPS-PRINT,https://forprint.net.ua/product/druk-na-kepkah/,200,Друк на кепках,1,1,product,approved-for-keyword-research
12-textile-branding,FP-SEARCH-10-TEXTILE-UA-PROBE,AG-05-CAPS-EMBROIDERY,https://forprint.net.ua/product/vishivka-na-kepkah/,200,Об'ємна вишивка на кепках,1,1,product,approved-for-keyword-research
12-textile-branding,FP-SEARCH-10-TEXTILE-UA-PROBE,AG-06-SHOPPERS-PRINT,https://forprint.net.ua/product/druk-na-eko-shoperah/,200,Друк на Еко шоперах,1,1,product,approved-for-keyword-research
12-textile-branding,FP-SEARCH-10-TEXTILE-UA-PROBE,AG-07-SHOPPERS-EMBROIDERY,https://forprint.net.ua/product/vishivka-na-eko-shoperah/,200,Вишивка на еко шоперах,1,1,product,approved-for-keyword-research
12-textile-branding,FP-SEARCH-10-TEXTILE-UA-PROBE,AG-08-WORKWEAR-BRANDING,https://forprint.net.ua/product/brenduvannya-spets-odyagu/,200,Брендування спец-одягу,1,1,product,approved-for-keyword-research
