research_plan,campaign,ad_group,final_url,http_status,h1,has_form,has_price,review_status
10-folders-documents,FP-SEARCH-08-FOLDERS-UA-PROBE,AG-01-FOLDERS-GENERIC,https://forprint.net.ua/catalog/papki-dlya-dokumentv/,200,Папки для документів,1,1,approved-for-keyword-research
10-folders-documents,FP-SEARCH-08-FOLDERS-UA-PROBE,AG-02-FOLDERS-FULL-COLOR,https://forprint.net.ua/product/papka-brendovana-povnokolrna/,200,Папка брендована повноколірна,1,1,approved-for-keyword-research
10-folders-documents,FP-SEARCH-08-FOLDERS-UA-PROBE,AG-03-FOLDERS-FOIL,https://forprint.net.ua/product/papka-z-folguvannyam/,200,Папка з фольгуванням,1,1,approved-for-keyword-research
10-folders-documents,FP-SEARCH-08-FOLDERS-UA-PROBE,AG-04-FOLDERS-EMBOSSING,https://forprint.net.ua/product/papka-z-slpim-tisnenyam/,200,Папка зі сліпим тисненням,1,1,approved-for-keyword-research
10-folders-documents,FP-SEARCH-08-FOLDERS-UA-PROBE,AG-05-FOLDERS-UV-VARNISH,https://forprint.net.ua/product/papka-z-vbrkovim-lakom/,200,Папка з вибірковим лаком,1,1,approved-for-keyword-research
