research_plan,campaign,proposed_ad_group,final_url,http_status,h1,has_form,has_price,candidate_type,review_status
13-drinkware-branding,FP-SEARCH-11-DRINKWARE-UA-PROBE,AG-01-DRINKWARE-GENERIC,https://forprint.net.ua/catalog/brenduvannya-posudu/,200,Брендування посуду,1,1,catalog,approved-for-keyword-research
13-drinkware-branding,FP-SEARCH-11-DRINKWARE-UA-PROBE,AG-02-MUGS-PRINT,https://forprint.net.ua/product/druk-na-chashkah/,200,Друк на чашках,1,1,product,approved-for-keyword-research
13-drinkware-branding,FP-SEARCH-11-DRINKWARE-UA-PROBE,AG-03-CUPS-BRANDING,https://forprint.net.ua/product/brenduvannya-stakanv/,200,Брендування стаканів,1,1,product,approved-for-keyword-research
13-drinkware-branding,FP-SEARCH-11-DRINKWARE-UA-PROBE,AG-04-THERMOSES-BRANDING,https://forprint.net.ua/product/brenduvannya-termosv/,200,Брендування термосів,1,1,product,approved-for-keyword-research
