research_plan,campaign,ad_group,final_url,http_status,title,h1,has_form,has_price,review_status
08-notebooks-planners,FP-SEARCH-06-NOTEBOOKS-UA-PROBE,AG-01-NOTEBOOKS-GENERIC,https://forprint.net.ua/catalog/bloknoti-schodenniki-zoshiti/,200,Блокноти Щоденники Зошити — каталог | ForPrint — Прінт студія повного циклу,Блокноти Щоденники Зошити,1,1,approved-for-keyword-research
08-notebooks-planners,FP-SEARCH-06-NOTEBOOKS-UA-PROBE,AG-02-NOTEBOOKS-BRANDED,https://forprint.net.ua/product/brendovan-bloknoti/,200,Брендовані блокноти з твердою обкладинкою — замовити у ForPrint — Прінт студія повного циклу,Брендовані блокноти з твердою обкладинкою,1,1,approved-for-keyword-research
08-notebooks-planners,FP-SEARCH-06-NOTEBOOKS-UA-PROBE,AG-03-PLANNERS-DIARIES,https://forprint.net.ua/product/schodenniki-planeri/,200,Щоденники / планери — замовити у ForPrint — Прінт студія повного циклу,Щоденники / планери,1,1,approved-for-keyword-research
08-notebooks-planners,FP-SEARCH-06-NOTEBOOKS-UA-PROBE,AG-04-NOTEBOOKS-SPRING,https://forprint.net.ua/product/bloknot-na-pruzhin/,200,Блокнот на пружині — замовити у ForPrint — Прінт студія повного циклу,Блокнот на пружині,1,1,approved-for-keyword-research
