research_plan,campaign,proposed_ad_group,final_url,http_status,h1,has_form,has_price,candidate_type,review_status
14-calendars,FP-SEARCH-12-CALENDARS-UA-PROBE,AG-01-CALENDARS-GENERIC,https://forprint.net.ua/catalog/kalendar/,200,Календарі,1,1,catalog,approved-for-keyword-research
14-calendars,FP-SEARCH-12-CALENDARS-UA-PROBE,AG-02-QUARTERLY-CALENDARS,https://forprint.net.ua/product/kalendar-kvartalniy/,200,Календар квартальний,1,1,product,approved-for-keyword-research
14-calendars,FP-SEARCH-12-CALENDARS-UA-PROBE,AG-03-DESK-CALENDARS,https://forprint.net.ua/product/kalendar-nastlniy/,200,Календар настільний,1,1,product,approved-for-keyword-research
