research_plan,campaign,ad_group,final_url,http_status,h1,has_form,has_price,review_status
09-pens-pencils,FP-SEARCH-07-PENS-PENCILS-UA-PROBE,AG-01-PENS-GENERIC,https://forprint.net.ua/catalog/druk-na-ruchkah/,200,Друк на ручках / Олівцях,1,1,approved-for-keyword-research
09-pens-pencils,FP-SEARCH-07-PENS-PENCILS-UA-PROBE,AG-02-PENS-METAL,https://forprint.net.ua/product/druk-na-metalevih-ruchkah/,200,Друк на металевих ручках,1,1,approved-for-keyword-research
09-pens-pencils,FP-SEARCH-07-PENS-PENCILS-UA-PROBE,AG-03-PENS-PLASTIC,https://forprint.net.ua/product/druk-na-plastikovih-ruchkah/,200,Друк на пластикових ручках,1,1,approved-for-keyword-research
09-pens-pencils,FP-SEARCH-07-PENS-PENCILS-UA-PROBE,AG-04-PENS-ECO,https://forprint.net.ua/product/druk-na-eko-ruchkah/,200,Друк на еко-ручках,1,1,approved-for-keyword-research
09-pens-pencils,FP-SEARCH-07-PENS-PENCILS-UA-PROBE,AG-05-PENCILS,https://forprint.net.ua/product/druk-na-olvtsyah/,200,Друк на олівцях,1,1,approved-for-keyword-research
